Station,ID,LATITUDE,LONGITUDE,SWE_2000,SWE_2005,SWE_2010,SWE_2015,SWE_2020,,
Green Mountain,GRM,"	37.549599",-119.232559,30,50.8,31.9,0.8,5.2,,
Devil's Postpile,DPO,37.62941,-119.084671,,,18.8,,,,
Tamarack Summit,TMR,37.16375,-119.200531,24.5,52.6,31.4,0,,,
Chilkoot Meadow,CHM,37.40839,-119.492188,26.5,67.7,43.9,,20.9,,
Huntington Lake,HNT,37.22757,-119.220482,17.9,39.7,28.9,0,14.8,,
Graveyard Meadow,GRV,37.46344,-119.292892,16.3,41.8,28.4,0,5.8,,
Poison Ridge,PSR,37.402821,-119.520813,17.9,51.6,38.4,2,9,,
Bishop Pass,BSH,37.099998,-118.556999,29.7,39,31.7,1.8,,,
Charlotte Lake,CRL,36.777523,-118.42601,22.7,46.2,26.8,,22.5,,
State Lakes,STL,36.926998,-118.573997,,49.9,30.8,,16.1,,
Blackcap Basin,BCB,37.066685,-118.77301,33.7,46.2,38.4,,16,,
Mitchell Meadow,MTM,36.737,-118.711998,36.4,50.5,,,17.8,,
Upper Burnt Corral,UBC,37.183296,-118.938293,35.8,50.2,38.7,4.7,16.8,,
West Woodchuck Meadow,WWC,37.029999,-118.917999,34,50,36,,10.4,,
Big Meadows,BIM,36.715225,-118.843773,26.5,40.7,28.5,0,,,
Farewell Gap,FRW,36.415211,-118.578979,,66.1,42.2,,,,
Quaking Aspen,QUA,36.117508,-118.539993,14.2,28.2,30.3,0,4.7,,
Giant Forest,GNF,36.562,-118.765,8.6,16,18.1,,2.4,,
Upper Tyndall Creek,UTY,36.650002,-118.397003,21.2,38.5,19.3,,13,,
Crabtree Meadow,CBT,36.563683,-118.347946,14.6,29.9,17.8,,7.9,,
Chagoopa Plateau,CHP,36.497143,-118.446716,23.3,25.5,22.4,0,10.8,,
Pascoes,PSC,35.966999,-118.349998,24.8,54,,0,18.2,,
Wet Meadows,WTM,36.348,-118.571999,24.5,,15.2,0,5.9,,
Tunnel Guard Station,TUN,36.366348,-118.289116,8.8,24.9,32.2,0,,,
Casa Vieja Meadows,CSV,36.198097,-118.267685,15.7,26.2,26.7,0,9.6,,
Beach Meadows,BCH,36.126095,-118.293457,1.6,14.4,,,0.3,,
Dismal Swamp,DSS,41.993,-120.165,28.2,27.1,25.1,11,31.1,,
Big Meadows,BMW,39.458,-119.946,42.1,27.4,37.2,0,17.2,,
Independence Lake,IDP,39.435001,-120.321999,17.7,49.1,22,16.2,26.4,,
Squaw Valley,SQV,39.194,-120.276001,52.5,71,43,0,26.6,,
Independence Camp,IDC,39.452587,-120.298546,11.1,23.2,16.3,0,10,,
Independence Creek,INN,39.493999,-120.292999,12,20.4,15,0,5.9,,
Truckee 2,TK2,39.299999,-120.194,15,25.1,19.4,0,13.5,,
Mount Rose Ski Area,MSK,39.326,-119.902,35.2,48.1,32.1,13.1,27.4,,
Heavenly Valley,HVN,38.929001,-119.917,21.6,36.4,21.4,0,16,,
Hagans Meadow,HGM,38.853001,-119.940002,10.7,21.8,15.1,0,7.2,,
Marlette Lake,MRL,39.173,-119.904999,22,35.7,22.4,,19.3,,
Echo Peak 5,EP5,38.848999,-120.079002,39.4,60.7,34.2,0,26,,
Rubicon Peak 2,RP2,39.000999,-120.139999,24.9,39.4,25,0,19.4,,
Tahoe City Cross,TCC,39.17144,-120.154655,11.7,14.6,9.7,0,3.3,,
Ward Creek 3,WC3,39.135574,-120.218681,33.8,51.1,34.5,,28,,
Fallen Leaf Lake,FLL,38.931999,-120.056,0,5.4,5,0,,,
Ebbetts Pass,EBB,38.561001,-119.807999,29.5,44,33.6,0.1,22.2,,
Horse Meadow,HOR,38.836498,-119.887299,,27,18.9,0,13.8,,
Monitor Pass,MNT,38.669998,-119.614998,10.5,31.5,15.2,0,9.6,,
Burnside Lake,BSK,38.719398,-119.894203,,35,25.6,0,17.8,,
Forestdale Creek,FDC,38.6824,-119.959702,,27.8,33,2.1,25.3,,
Poison Flat,PSN,38.500999,-119.630997,,22.6,14.1,0,13.4,,
Spratt Creek,SPT,38.666271,-119.817421,0,7.8,0,0,0.1,,
Leavitt Lake,LVT,38.282001,-119.621002,57.1,77,50.6,24.2,33.5,,
Summit Meadow,SDW,38.397499,-119.535599,,36.6,22.5,0,11.8,,
Virginia Lakes,VRG,38.077,-119.234001,14.2,33.7,15,2.3,7.4,,
Lobdell Lake,LBD,"	40.817000",-121.317,12.1,30,16.8,0,7.4,,
Sonora Pass Bridge,SPS,38.318001,-119.600998,21.5,40.4,23.6,3.2,12.9,,
Leavitt Meadows,LVM,38.305,-119.552002,7.2,25.8,13.7,0,0.5,,
Gem Pass,GEM,37.779999,-119.169998,29,57.1,36.4,11.6,11.6,,
Sawmill,SWM,37.161964,-118.562592,13.7,,14.2,3.1,9,,
Cottonwood Lakes,CWD,36.483829,-118.177559,8.7,29.9,19.4,0,12.8,,
Big Pine Creek,BGP,37.127815,-118.476967,9.8,,16.3,0,,,
Rock Creek Lakes,RCK,37.457275,-118.735023,11.1,22.6,,0,3.7,,
South Lake,SLK,37.175903,-118.56266,16,28.4,17.8,0,7.7,,
Mammoth Pass,MHP,37.6124,-119.031746,36.4,59.2,36.5,0.6,19.9,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
